Tract,Average,nVoxels
ACR-L,0.426807,1569
ACR-R,0.413201,1560
ALIC-L,0.470987,719
ALIC-R,0.522879,791
AverageFA,0.356449,117139
BCC,0.548979,3173
CGC,0.415398,594
CGC-L,0.419855,307
CGC-R,0.41063,287
CR,0.420265,7344
CR-L,0.423852,3608
CR-R,0.416801,3736
CST,0.489183,642
CST-L,0.492374,332
CST-R,0.485766,310
EC,0.379527,2896
EC-L,0.368068,1445
EC-R,0.390939,1451
FX,0.315518,222
GCC,0.600033,1834
IC,0.5343,4781
IC-L,0.525825,2328
IC-R,0.542343,2453
IFO,0.425408,88
IFO-L,0.429477,40
IFO-R,0.422017,48
PCR-L,0.419952,677
PCR-R,0.421816,760
PLIC-L,0.574849,883
PLIC-R,0.593046,892
PTR,0.481633,1987
PTR-L,0.490685,978
PTR-R,0.47286,1009
RLIC-L,0.520508,726
RLIC-R,0.503602,770
SCC,0.655706,2311
SCR-L,0.422387,1362
SCR-R,0.418075,1416
SFO,0.419708,193
SFO-L,0.412896,95
SFO-R,0.426311,98
SLF,0.428341,3503
SLF-L,0.427902,1733
SLF-R,0.42877,1770
SS,0.475704,1294
SS-L,0.461005,648
SS-R,0.490448,646
UNC-L,0.518747,51
UNC-R,0.515257,74
