Tract,Average,nVoxels
ACR-L,0.470558,1569
ACR-R,0.490002,1560
ALIC-L,0.555229,719
ALIC-R,0.560159,791
AverageFA,0.423637,117139
BCC,0.634785,3173
CGC,0.566709,594
CGC-L,0.573685,307
CGC-R,0.559247,287
CR,0.491977,7344
CR-L,0.486705,3608
CR-R,0.497068,3736
CST,0.550274,642
CST-L,0.54863,332
CST-R,0.552034,310
EC,0.430969,2896
EC-L,0.418225,1445
EC-R,0.443661,1451
FX,0.399552,222
GCC,0.706047,1834
IC,0.599991,4781
IC-L,0.598708,2328
IC-R,0.601207,2453
IFO,0.505816,88
IFO-L,0.491251,40
IFO-R,0.517954,48
PCR-L,0.494958,677
PCR-R,0.50951,760
PLIC-L,0.652818,883
PLIC-R,0.669958,892
PTR,0.587897,1987
PTR-L,0.578998,978
PTR-R,0.596523,1009
RLIC-L,0.575957,726
RLIC-R,0.563732,770
SCC,0.751146,2311
SCR-L,0.501205,1362
SCR-R,0.498176,1416
SFO,0.504957,193
SFO-L,0.50836,95
SFO-R,0.501659,98
SLF,0.480485,3503
SLF-L,0.477269,1733
SLF-R,0.483633,1770
SS,0.535423,1294
SS-L,0.535195,648
SS-R,0.535652,646
UNC-L,0.552661,51
UNC-R,0.528911,74
