Tract,Average,nVoxels
ACR-L,0.410042,1569
ACR-R,0.410417,1560
ALIC-L,0.516986,719
ALIC-R,0.500887,791
AverageFA,0.390169,117126
BCC,0.553679,3173
CGC,0.521807,594
CGC-L,0.543478,307
CGC-R,0.498625,287
CR,0.443337,7344
CR-L,0.449726,3608
CR-R,0.437167,3736
CST,0.53054,642
CST-L,0.523435,332
CST-R,0.538149,310
EC,0.42164,2896
EC-L,0.423772,1445
EC-R,0.419517,1451
FX,0.273567,222
GCC,0.598972,1834
IC,0.596303,4781
IC-L,0.614097,2328
IC-R,0.579416,2453
IFO,0.438911,88
IFO-L,0.452565,40
IFO-R,0.427533,48
PCR-L,0.448528,677
PCR-R,0.423276,760
PLIC-L,0.687744,883
PLIC-R,0.643494,892
PTR,0.53998,1987
PTR-L,0.555784,978
PTR-R,0.524661,1009
RLIC-L,0.620699,726
RLIC-R,0.585857,770
SCC,0.67119,2311
SCR-L,0.496036,1362
SCR-R,0.474094,1416
SFO,0.422683,193
SFO-L,0.41409,95
SFO-R,0.431012,98
SLF,0.479877,3503
SLF-L,0.490211,1733
SLF-R,0.469759,1770
SS,0.525846,1294
SS-L,0.53695,648
SS-R,0.514707,646
UNC-L,0.3705,51
UNC-R,0.447822,74
