Tract,Average,nVoxels
ACR-L,0.438959,1569
ACR-R,0.439589,1560
ALIC-L,0.48017,719
ALIC-R,0.47986,791
AverageFA,0.384846,117139
BCC,0.619458,3173
CGC,0.487708,594
CGC-L,0.512029,307
CGC-R,0.461692,287
CR,0.457415,7344
CR-L,0.450733,3608
CR-R,0.463868,3736
CST,0.513054,642
CST-L,0.524279,332
CST-R,0.501033,310
EC,0.397119,2896
EC-L,0.386559,1445
EC-R,0.407636,1451
FX,0.364943,222
GCC,0.650817,1834
IC,0.54776,4781
IC-L,0.560264,2328
IC-R,0.535893,2453
IFO,0.438911,88
IFO-L,0.417233,40
IFO-R,0.456976,48
PCR-L,0.435299,677
PCR-R,0.478728,760
PLIC-L,0.622946,883
PLIC-R,0.617376,892
PTR,0.538611,1987
PTR-L,0.54936,978
PTR-R,0.528192,1009
RLIC-L,0.563348,726
RLIC-R,0.499062,770
SCC,0.695577,2311
SCR-L,0.471967,1362
SCR-R,0.482641,1416
SFO,0.442777,193
SFO-L,0.438725,95
SFO-R,0.446704,98
SLF,0.471697,3503
SLF-L,0.470223,1733
SLF-R,0.47314,1770
SS,0.518153,1294
SS-L,0.536181,648
SS-R,0.50007,646
UNC-L,0.433824,51
UNC-R,0.482642,74
