Tract,Average,nVoxels
ACR-L,0.44112,1569
ACR-R,0.452669,1560
ALIC-L,0.508267,719
ALIC-R,0.506601,791
AverageFA,0.391536,117139
BCC,0.6463,3173
CGC,0.50904,594
CGC-L,0.535069,307
CGC-R,0.481198,287
CR,0.469518,7344
CR-L,0.472409,3608
CR-R,0.466727,3736
CST,0.515926,642
CST-L,0.525807,332
CST-R,0.505343,310
EC,0.3969,2896
EC-L,0.393575,1445
EC-R,0.400211,1451
FX,0.38349,222
GCC,0.652872,1834
IC,0.576322,4781
IC-L,0.576492,2328
IC-R,0.57616,2453
IFO,0.463163,88
IFO-L,0.453584,40
IFO-R,0.471145,48
PCR-L,0.495309,677
PCR-R,0.474268,760
PLIC-L,0.661175,883
PLIC-R,0.663097,892
PTR,0.555565,1987
PTR-L,0.570327,978
PTR-R,0.541257,1009
RLIC-L,0.541062,726
RLIC-R,0.546906,770
SCC,0.725551,2311
SCR-L,0.497071,1362
SCR-R,0.478166,1416
SFO,0.449997,193
SFO-L,0.452955,95
SFO-R,0.447129,98
SLF,0.465083,3503
SLF-L,0.457961,1733
SLF-R,0.472056,1770
SS,0.504162,1294
SS-L,0.509291,648
SS-R,0.499018,646
UNC-L,0.515223,51
UNC-R,0.559438,74
