Tract,Average,nVoxels
ACR-L,0.342317,1569
ACR-R,0.325755,1560
ALIC-L,0.520343,719
ALIC-R,0.465225,791
AverageFA,0.342939,117051
BCC,0.452488,3173
CGC,0.414109,594
CGC-L,0.409705,307
CGC-R,0.41882,287
CR,0.384076,7344
CR-L,0.396534,3608
CR-R,0.372044,3736
CST,0.472893,642
CST-L,0.463803,332
CST-R,0.482628,310
EC,0.330674,2896
EC-L,0.329816,1445
EC-R,0.331529,1451
FX,0.277306,222
GCC,0.555132,1834
IC,0.546377,4781
IC-L,0.559154,2328
IC-R,0.534251,2453
IFO,0.383135,88
IFO-L,0.360148,40
IFO-R,0.402291,48
PCR-L,0.399743,677
PCR-R,0.369736,760
PLIC-L,0.65159,883
PLIC-R,0.64663,892
PTR,0.421569,1987
PTR-L,0.41149,978
PTR-R,0.431339,1009
RLIC-L,0.485165,726
RLIC-R,0.474976,770
SCC,0.597072,2311
SCR-L,0.457396,1362
SCR-R,0.424279,1416
SFO,0.405818,193
SFO-L,0.430671,95
SFO-R,0.381726,98
SLF,0.379854,3503
SLF-L,0.398896,1733
SLF-R,0.361211,1770
SS,0.406409,1294
SS-L,0.423988,648
SS-R,0.388776,646
UNC-L,0.336376,51
UNC-R,0.406041,74
