Tract,Average,nVoxels
ACR-L,0.457084,1569
ACR-R,0.44673,1560
ALIC-L,0.503855,719
ALIC-R,0.540672,791
AverageFA,0.376301,117119
BCC,0.600863,3173
CGC,0.468888,594
CGC-L,0.486777,307
CGC-R,0.449753,287
CR,0.441088,7344
CR-L,0.443418,3608
CR-R,0.438838,3736
CST,0.495331,642
CST-L,0.491089,332
CST-R,0.499875,310
EC,0.376797,2896
EC-L,0.374529,1445
EC-R,0.379056,1451
FX,0.362429,222
GCC,0.648223,1834
IC,0.562625,4781
IC-L,0.554307,2328
IC-R,0.570519,2453
IFO,0.44104,88
IFO-L,0.431999,40
IFO-R,0.448575,48
PCR-L,0.414045,677
PCR-R,0.422567,760
PLIC-L,0.627914,883
PLIC-R,0.634155,892
PTR,0.450007,1987
PTR-L,0.437442,978
PTR-R,0.462186,1009
RLIC-L,0.514748,726
RLIC-R,0.527461,770
SCC,0.684545,2311
SCR-L,0.442276,1362
SCR-R,0.438877,1416
SFO,0.401082,193
SFO-L,0.381978,95
SFO-R,0.419602,98
SLF,0.407877,3503
SLF-L,0.404316,1733
SLF-R,0.411364,1770
SS,0.45514,1294
SS-L,0.448967,648
SS-R,0.461332,646
UNC-L,0.519659,51
UNC-R,0.499186,74
