Tract,Average,nVoxels
ACR-L,0.479719,1569
ACR-R,0.481105,1560
ALIC-L,0.557036,719
ALIC-R,0.553619,791
AverageFA,0.42586,117130
BCC,0.647587,3173
CGC,0.547929,594
CGC-L,0.57726,307
CGC-R,0.516555,287
CR,0.506596,7344
CR-L,0.511724,3608
CR-R,0.501644,3736
CST,0.599089,642
CST-L,0.62052,332
CST-R,0.576137,310
EC,0.436608,2896
EC-L,0.443582,1445
EC-R,0.429663,1451
FX,0.428907,222
GCC,0.694711,1834
IC,0.611306,4781
IC-L,0.617234,2328
IC-R,0.605681,2453
IFO,0.481752,88
IFO-L,0.446141,40
IFO-R,0.511427,48
PCR-L,0.5082,677
PCR-R,0.52337,760
PLIC-L,0.695509,883
PLIC-R,0.673708,892
PTR,0.585355,1987
PTR-L,0.586051,978
PTR-R,0.58468,1009
RLIC-L,0.581649,726
RLIC-R,0.580357,770
SCC,0.747491,2311
SCR-L,0.550345,1362
SCR-R,0.51261,1416
SFO,0.482462,193
SFO-L,0.486201,95
SFO-R,0.478838,98
SLF,0.501791,3503
SLF-L,0.491609,1733
SLF-R,0.51176,1770
SS,0.518381,1294
SS-L,0.518771,648
SS-R,0.51799,646
UNC-L,0.550115,51
UNC-R,0.534028,74
