Tract,Average,nVoxels
ACR-L,0.402617,1569
ACR-R,0.394583,1560
ALIC-L,0.515679,719
ALIC-R,0.490389,791
AverageFA,0.395344,117127
BCC,0.63987,3173
CGC,0.481797,594
CGC-L,0.500296,307
CGC-R,0.462008,287
CR,0.426226,7344
CR-L,0.430464,3608
CR-R,0.422132,3736
CST,0.620842,642
CST-L,0.612202,332
CST-R,0.630096,310
EC,0.399395,2896
EC-L,0.394242,1445
EC-R,0.404527,1451
FX,0.357343,222
GCC,0.66139,1834
IC,0.573707,4781
IC-L,0.582284,2328
IC-R,0.565567,2453
IFO,0.553609,88
IFO-L,0.518026,40
IFO-R,0.583261,48
PCR-L,0.432583,677
PCR-R,0.439112,760
PLIC-L,0.67919,883
PLIC-R,0.67588,892
PTR,0.515775,1987
PTR-L,0.531589,978
PTR-R,0.500447,1009
RLIC-L,0.530386,726
RLIC-R,0.515005,770
SCC,0.725435,2311
SCR-L,0.461491,1362
SCR-R,0.44337,1416
SFO,0.441807,193
SFO-L,0.441553,95
SFO-R,0.442054,98
SLF,0.440636,3503
SLF-L,0.449501,1733
SLF-R,0.431957,1770
SS,0.474879,1294
SS-L,0.470489,648
SS-R,0.479283,646
UNC-L,0.488222,51
UNC-R,0.491001,74
