Tract,Average,nVoxels
ACR-L,0.455903,1569
ACR-R,0.415369,1560
ALIC-L,0.490881,719
ALIC-R,0.506874,791
AverageFA,0.349677,117133
BCC,0.509476,3173
CGC,0.423579,594
CGC-L,0.432605,307
CGC-R,0.413925,287
CR,0.423614,7344
CR-L,0.438949,3608
CR-R,0.408804,3736
CST,0.503048,642
CST-L,0.527732,332
CST-R,0.476613,310
EC,0.393313,2896
EC-L,0.396709,1445
EC-R,0.389931,1451
FX,0.287595,222
GCC,0.521904,1834
IC,0.547896,4781
IC-L,0.546882,2328
IC-R,0.548858,2453
IFO,0.406266,88
IFO-L,0.414173,40
IFO-R,0.399677,48
PCR-L,0.423125,677
PCR-R,0.391667,760
PLIC-L,0.599198,883
PLIC-R,0.589688,892
PTR,0.448788,1987
PTR-L,0.440113,978
PTR-R,0.457197,1009
RLIC-L,0.538713,726
RLIC-R,0.544689,770
SCC,0.624393,2311
SCR-L,0.427283,1362
SCR-R,0.410769,1416
SFO,0.407352,193
SFO-L,0.422375,95
SFO-R,0.392788,98
SLF,0.385825,3503
SLF-L,0.373289,1733
SLF-R,0.398099,1770
SS,0.493301,1294
SS-L,0.505348,648
SS-R,0.481216,646
UNC-L,0.399485,51
UNC-R,0.384915,74
