Tract,Average,nVoxels
ACR-L,0.409949,1569
ACR-R,0.438834,1560
ALIC-L,0.522422,719
ALIC-R,0.54972,791
AverageFA,0.389975,117130
BCC,0.554193,3173
CGC,0.469914,594
CGC-L,0.489865,307
CGC-R,0.448572,287
CR,0.435579,7344
CR-L,0.419999,3608
CR-R,0.450625,3736
CST,0.509824,642
CST-L,0.521023,332
CST-R,0.49783,310
EC,0.372264,2896
EC-L,0.353985,1445
EC-R,0.390467,1451
FX,0.354606,222
GCC,0.655977,1834
IC,0.56203,4781
IC-L,0.568573,2328
IC-R,0.55582,2453
IFO,0.419295,88
IFO-L,0.388527,40
IFO-R,0.444935,48
PCR-L,0.402111,677
PCR-R,0.441798,760
PLIC-L,0.650656,883
PLIC-R,0.606191,892
PTR,0.4726,1987
PTR-L,0.46678,978
PTR-R,0.478242,1009
RLIC-L,0.514444,726
RLIC-R,0.503735,770
SCC,0.668736,2311
SCR-L,0.440468,1362
SCR-R,0.468354,1416
SFO,0.450592,193
SFO-L,0.430495,95
SFO-R,0.470073,98
SLF,0.424974,3503
SLF-L,0.431854,1733
SLF-R,0.418237,1770
SS,0.462167,1294
SS-L,0.464547,648
SS-R,0.459779,646
UNC-L,0.387348,51
UNC-R,0.501227,74
