Tract,Average,nVoxels
ACR-L,0.422257,1569
ACR-R,0.418427,1560
ALIC-L,0.516542,719
ALIC-R,0.545076,791
AverageFA,0.372416,117131
BCC,0.587284,3173
CGC,0.513664,594
CGC-L,0.501849,307
CGC-R,0.526303,287
CR,0.416983,7344
CR-L,0.418429,3608
CR-R,0.415587,3736
CST,0.528542,642
CST-L,0.527859,332
CST-R,0.529274,310
EC,0.391617,2896
EC-L,0.38427,1445
EC-R,0.398934,1451
FX,0.332384,222
GCC,0.632537,1834
IC,0.561129,4781
IC-L,0.552025,2328
IC-R,0.569769,2453
IFO,0.461566,88
IFO-L,0.431396,40
IFO-R,0.486707,48
PCR-L,0.374984,677
PCR-R,0.395172,760
PLIC-L,0.601059,883
PLIC-R,0.626487,892
PTR,0.433353,1987
PTR-L,0.443341,978
PTR-R,0.423672,1009
RLIC-L,0.527528,726
RLIC-R,0.52943,770
SCC,0.619783,2311
SCR-L,0.435614,1362
SCR-R,0.423415,1416
SFO,0.426325,193
SFO-L,0.397285,95
SFO-R,0.454476,98
SLF,0.40892,3503
SLF-L,0.423357,1733
SLF-R,0.394785,1770
SS,0.447567,1294
SS-L,0.45067,648
SS-R,0.444454,646
UNC-L,0.411237,51
UNC-R,0.362242,74
