Tract,Average,nVoxels
ACR-L,0.459366,1569
ACR-R,0.452884,1560
ALIC-L,0.57539,719
ALIC-R,0.571369,791
AverageFA,0.381256,117121
BCC,0.561984,3173
CGC,0.461347,594
CGC-L,0.477834,307
CGC-R,0.443711,287
CR,0.444056,7344
CR-L,0.44533,3608
CR-R,0.442826,3736
CST,0.48152,642
CST-L,0.476118,332
CST-R,0.487306,310
EC,0.382798,2896
EC-L,0.382907,1445
EC-R,0.38269,1451
FX,0.302864,222
GCC,0.641799,1834
IC,0.579846,4781
IC-L,0.577707,2328
IC-R,0.581876,2453
IFO,0.446695,88
IFO-L,0.44412,40
IFO-R,0.44884,48
PCR-L,0.430844,677
PCR-R,0.43111,760
PLIC-L,0.624245,883
PLIC-R,0.629616,892
PTR,0.492798,1987
PTR-L,0.49141,978
PTR-R,0.494143,1009
RLIC-L,0.523399,726
RLIC-R,0.537367,770
SCC,0.666908,2311
SCR-L,0.436361,1362
SCR-R,0.438033,1416
SFO,0.443757,193
SFO-L,0.439386,95
SFO-R,0.447995,98
SLF,0.436532,3503
SLF-L,0.436181,1733
SLF-R,0.436876,1770
SS,0.467266,1294
SS-L,0.458821,648
SS-R,0.475738,646
UNC-L,0.502382,51
UNC-R,0.455982,74
