Tract,Average,nVoxels
ACR-L,0.421859,1569
ACR-R,0.425378,1560
ALIC-L,0.539968,719
ALIC-R,0.545216,791
AverageFA,0.37837,117125
BCC,0.538171,3173
CGC,0.451921,594
CGC-L,0.472939,307
CGC-R,0.429439,287
CR,0.445062,7344
CR-L,0.433274,3608
CR-R,0.456446,3736
CST,0.510453,642
CST-L,0.494102,332
CST-R,0.527965,310
EC,0.366029,2896
EC-L,0.357427,1445
EC-R,0.374596,1451
FX,0.213708,222
GCC,0.640017,1834
IC,0.555541,4781
IC-L,0.548707,2328
IC-R,0.562027,2453
IFO,0.389964,88
IFO-L,0.362915,40
IFO-R,0.412504,48
PCR-L,0.459813,677
PCR-R,0.499137,760
PLIC-L,0.587049,883
PLIC-R,0.615122,892
PTR,0.477615,1987
PTR-L,0.462284,978
PTR-R,0.492475,1009
RLIC-L,0.510727,726
RLIC-R,0.517788,770
SCC,0.646083,2311
SCR-L,0.433232,1362
SCR-R,0.467761,1416
SFO,0.420651,193
SFO-L,0.399857,95
SFO-R,0.440809,98
SLF,0.440828,3503
SLF-L,0.446525,1733
SLF-R,0.43525,1770
SS,0.467496,1294
SS-L,0.460222,648
SS-R,0.474792,646
UNC-L,0.521048,51
UNC-R,0.525861,74
