Tract,Average,nVoxels
ACR-L,0.426674,1569
ACR-R,0.409092,1560
ALIC-L,0.511491,719
ALIC-R,0.475887,791
AverageFA,0.394716,117139
BCC,0.612123,3173
CGC,0.478285,594
CGC-L,0.487054,307
CGC-R,0.468905,287
CR,0.438601,7344
CR-L,0.445226,3608
CR-R,0.432204,3736
CST,0.517643,642
CST-L,0.513287,332
CST-R,0.522308,310
EC,0.404875,2896
EC-L,0.403064,1445
EC-R,0.406679,1451
FX,0.463903,222
GCC,0.646802,1834
IC,0.560021,4781
IC-L,0.571438,2328
IC-R,0.549186,2453
IFO,0.473264,88
IFO-L,0.47323,40
IFO-R,0.473292,48
PCR-L,0.462294,677
PCR-R,0.471043,760
PLIC-L,0.623143,883
PLIC-R,0.604283,892
PTR,0.548568,1987
PTR-L,0.539486,978
PTR-R,0.557371,1009
RLIC-L,0.56792,726
RLIC-R,0.560657,770
SCC,0.707523,2311
SCR-L,0.458113,1362
SCR-R,0.43682,1416
SFO,0.450536,193
SFO-L,0.462041,95
SFO-R,0.439383,98
SLF,0.459146,3503
SLF-L,0.455621,1733
SLF-R,0.462597,1770
SS,0.503081,1294
SS-L,0.508484,648
SS-R,0.497661,646
UNC-L,0.465937,51
UNC-R,0.511266,74
