Tract,Average,nVoxels
ACR-L,0.453316,1569
ACR-R,0.453352,1560
ALIC-L,0.501966,719
ALIC-R,0.507563,791
AverageFA,0.400317,117138
BCC,0.611825,3173
CGC,0.567034,594
CGC-L,0.599553,307
CGC-R,0.532249,287
CR,0.461797,7344
CR-L,0.469154,3608
CR-R,0.454693,3736
CST,0.546096,642
CST-L,0.538099,332
CST-R,0.554661,310
EC,0.402852,2896
EC-L,0.405997,1445
EC-R,0.39972,1451
FX,0.443764,222
GCC,0.656464,1834
IC,0.574229,4781
IC-L,0.580138,2328
IC-R,0.568621,2453
IFO,0.432336,88
IFO-L,0.427141,40
IFO-R,0.436665,48
PCR-L,0.461626,677
PCR-R,0.454522,760
PLIC-L,0.666351,883
PLIC-R,0.642707,892
PTR,0.540781,1987
PTR-L,0.542521,978
PTR-R,0.539094,1009
RLIC-L,0.552698,726
RLIC-R,0.54552,770
SCC,0.717139,2311
SCR-L,0.491141,1362
SCR-R,0.456261,1416
SFO,0.471142,193
SFO-L,0.484521,95
SFO-R,0.458173,98
SLF,0.455465,3503
SLF-L,0.46559,1733
SLF-R,0.445551,1770
SS,0.478607,1294
SS-L,0.484603,648
SS-R,0.472592,646
UNC-L,0.505477,51
UNC-R,0.493104,74
