Tract,Average,nVoxels
ACR-L,0.439929,1569
ACR-R,0.428165,1560
ALIC-L,0.5668,719
ALIC-R,0.538595,791
AverageFA,0.382065,117123
BCC,0.598878,3173
CGC,0.48128,594
CGC-L,0.507178,307
CGC-R,0.453578,287
CR,0.435825,7344
CR-L,0.446128,3608
CR-R,0.425875,3736
CST,0.524537,642
CST-L,0.523139,332
CST-R,0.526034,310
EC,0.421397,2896
EC-L,0.434945,1445
EC-R,0.407905,1451
FX,0.325062,222
GCC,0.63192,1834
IC,0.57473,4781
IC-L,0.591307,2328
IC-R,0.558997,2453
IFO,0.474636,88
IFO-L,0.484049,40
IFO-R,0.466791,48
PCR-L,0.438617,677
PCR-R,0.409252,760
PLIC-L,0.64302,883
PLIC-R,0.617242,892
PTR,0.491376,1987
PTR-L,0.497746,978
PTR-R,0.485201,1009
RLIC-L,0.552681,726
RLIC-R,0.512482,770
SCC,0.695794,2311
SCR-L,0.457003,1362
SCR-R,0.432273,1416
SFO,0.459002,193
SFO-L,0.480602,95
SFO-R,0.438063,98
SLF,0.441558,3503
SLF-L,0.446913,1733
SLF-R,0.436315,1770
SS,0.493147,1294
SS-L,0.489719,648
SS-R,0.496586,646
UNC-L,0.483151,51
UNC-R,0.460014,74
