Tract,Average,nVoxels
ACR-L,0.449952,1569
ACR-R,0.455712,1560
ALIC-L,0.478033,719
ALIC-R,0.546805,791
AverageFA,0.38186,117138
BCC,0.575162,3173
CGC,0.463668,594
CGC-L,0.463636,307
CGC-R,0.463702,287
CR,0.46028,7344
CR-L,0.455445,3608
CR-R,0.464948,3736
CST,0.486913,642
CST-L,0.487999,332
CST-R,0.485749,310
EC,0.410328,2896
EC-L,0.409905,1445
EC-R,0.410749,1451
FX,0.331547,222
GCC,0.642073,1834
IC,0.582045,4781
IC-L,0.566812,2328
IC-R,0.596502,2453
IFO,0.453008,88
IFO-L,0.446393,40
IFO-R,0.45852,48
PCR-L,0.4321,677
PCR-R,0.470171,760
PLIC-L,0.641171,883
PLIC-R,0.668613,892
PTR,0.51651,1987
PTR-L,0.504961,978
PTR-R,0.527705,1009
RLIC-L,0.564295,726
RLIC-R,0.564018,770
SCC,0.687884,2311
SCR-L,0.473377,1362
SCR-R,0.472321,1416
SFO,0.428531,193
SFO-L,0.404542,95
SFO-R,0.451786,98
SLF,0.442221,3503
SLF-L,0.437645,1733
SLF-R,0.446701,1770
SS,0.497424,1294
SS-L,0.498074,648
SS-R,0.496772,646
UNC-L,0.504688,51
UNC-R,0.573605,74
