Tract,Average,nVoxels
ACR-L,0.344565,1569
ACR-R,0.37853,1560
ALIC-L,0.452416,719
ALIC-R,0.480421,791
AverageFA,0.349785,117131
BCC,0.470064,3173
CGC,0.422174,594
CGC-L,0.449068,307
CGC-R,0.393406,287
CR,0.417884,7344
CR-L,0.407223,3608
CR-R,0.428179,3736
CST,0.502821,642
CST-L,0.525008,332
CST-R,0.47906,310
EC,0.32559,2896
EC-L,0.310498,1445
EC-R,0.34062,1451
FX,0.286538,222
GCC,0.558357,1834
IC,0.544829,4781
IC-L,0.542563,2328
IC-R,0.54698,2453
IFO,0.410224,88
IFO-L,0.363456,40
IFO-R,0.449197,48
PCR-L,0.442169,677
PCR-R,0.451803,760
PLIC-L,0.644011,883
PLIC-R,0.644667,892
PTR,0.480562,1987
PTR-L,0.460152,978
PTR-R,0.500345,1009
RLIC-L,0.508456,726
RLIC-R,0.502189,770
SCC,0.629831,2311
SCR-L,0.462034,1362
SCR-R,0.470197,1416
SFO,0.444744,193
SFO-L,0.448676,95
SFO-R,0.440933,98
SLF,0.408726,3503
SLF-L,0.411286,1733
SLF-R,0.406219,1770
SS,0.442924,1294
SS-L,0.453216,648
SS-R,0.4326,646
UNC-L,0.411619,51
UNC-R,0.46816,74
