Tract,Average,nVoxels
ACR-L,0.440283,1569
ACR-R,0.459867,1560
ALIC-L,0.507151,719
ALIC-R,0.511275,791
AverageFA,0.382194,117137
BCC,0.609662,3173
CGC,0.506667,594
CGC-L,0.522566,307
CGC-R,0.489661,287
CR,0.456469,7344
CR-L,0.444925,3608
CR-R,0.467617,3736
CST,0.517562,642
CST-L,0.525884,332
CST-R,0.508649,310
EC,0.385168,2896
EC-L,0.382624,1445
EC-R,0.387702,1451
FX,0.363559,222
GCC,0.640347,1834
IC,0.561232,4781
IC-L,0.563212,2328
IC-R,0.559352,2453
IFO,0.422703,88
IFO-L,0.389289,40
IFO-R,0.450548,48
PCR-L,0.421128,677
PCR-R,0.456677,760
PLIC-L,0.632542,883
PLIC-R,0.631886,892
PTR,0.533484,1987
PTR-L,0.542917,978
PTR-R,0.524341,1009
RLIC-L,0.534411,726
RLIC-R,0.524715,770
SCC,0.6804,2311
SCR-L,0.462101,1362
SCR-R,0.482026,1416
SFO,0.427558,193
SFO-L,0.41781,95
SFO-R,0.437007,98
SLF,0.452327,3503
SLF-L,0.445999,1733
SLF-R,0.458522,1770
SS,0.505246,1294
SS-L,0.514612,648
SS-R,0.49585,646
UNC-L,0.517421,51
UNC-R,0.493319,74
