Tract,Average,nVoxels
ACR-L,0.368611,1569
ACR-R,0.396344,1560
ALIC-L,0.478829,719
ALIC-R,0.494845,791
AverageFA,0.361542,117130
BCC,0.605657,3173
CGC,0.468641,594
CGC-L,0.484483,307
CGC-R,0.451696,287
CR,0.415122,7344
CR-L,0.403993,3608
CR-R,0.42587,3736
CST,0.452211,638
CST-L,0.475868,332
CST-R,0.426544,306
EC,0.351753,2896
EC-L,0.345787,1445
EC-R,0.357695,1451
FX,0.324669,222
GCC,0.593692,1834
IC,0.539362,4781
IC-L,0.538018,2328
IC-R,0.540637,2453
IFO,0.472816,88
IFO-L,0.473258,40
IFO-R,0.472447,48
PCR-L,0.404287,677
PCR-R,0.441748,760
PLIC-L,0.634825,883
PLIC-R,0.654042,892
PTR,0.426737,1987
PTR-L,0.426324,978
PTR-R,0.427137,1009
RLIC-L,0.478894,726
RLIC-R,0.456306,770
SCC,0.662484,2311
SCR-L,0.444607,1362
SCR-R,0.449877,1416
SFO,0.397052,193
SFO-L,0.377778,95
SFO-R,0.415737,98
SLF,0.39774,3503
SLF-L,0.39599,1733
SLF-R,0.399454,1770
SS,0.380253,1294
SS-L,0.380926,648
SS-R,0.379577,646
UNC-L,0.439428,51
UNC-R,0.470906,74
