Tract,Average,nVoxels
ACR-L,0.413761,1569
ACR-R,0.380497,1560
ALIC-L,0.556075,719
ALIC-R,0.527735,791
AverageFA,0.387019,117139
BCC,0.560459,3173
CGC,0.532177,594
CGC-L,0.575172,307
CGC-R,0.486185,287
CR,0.445793,7344
CR-L,0.466161,3608
CR-R,0.426122,3736
CST,0.567811,642
CST-L,0.569789,332
CST-R,0.565692,310
EC,0.389763,2896
EC-L,0.391839,1445
EC-R,0.387695,1451
FX,0.281719,222
GCC,0.623012,1834
IC,0.588298,4781
IC-L,0.602845,2328
IC-R,0.574492,2453
IFO,0.435423,88
IFO-L,0.441685,40
IFO-R,0.430205,48
PCR-L,0.476562,677
PCR-R,0.429136,760
PLIC-L,0.676894,883
PLIC-R,0.664793,892
PTR,0.528318,1987
PTR-L,0.554975,978
PTR-R,0.502479,1009
RLIC-L,0.559101,726
RLIC-R,0.517917,770
SCC,0.690419,2311
SCR-L,0.521355,1362
SCR-R,0.474769,1416
SFO,0.477227,193
SFO-L,0.492731,95
SFO-R,0.462198,98
SLF,0.439982,3503
SLF-L,0.449069,1733
SLF-R,0.431085,1770
SS,0.45839,1294
SS-L,0.477582,648
SS-R,0.439138,646
UNC-L,0.471862,51
UNC-R,0.456726,74
