Tract,Average,nVoxels
ACR-L,0.376014,1569
ACR-R,0.361767,1560
ALIC-L,0.496245,719
ALIC-R,0.484355,791
AverageFA,0.351876,117139
BCC,0.564,3173
CGC,0.492957,594
CGC-L,0.509736,307
CGC-R,0.475008,287
CR,0.390329,7344
CR-L,0.393908,3608
CR-R,0.386872,3736
CST,0.469995,642
CST-L,0.477519,332
CST-R,0.461937,310
EC,0.354485,2896
EC-L,0.355838,1445
EC-R,0.353137,1451
FX,0.365575,222
GCC,0.589357,1834
IC,0.533437,4781
IC-L,0.541671,2328
IC-R,0.525621,2453
IFO,0.387428,88
IFO-L,0.372275,40
IFO-R,0.400055,48
PCR-L,0.371459,677
PCR-R,0.399679,760
PLIC-L,0.637578,883
PLIC-R,0.610465,892
PTR,0.453572,1987
PTR-L,0.456476,978
PTR-R,0.450757,1009
RLIC-L,0.470013,726
RLIC-R,0.469727,770
SCC,0.645864,2311
SCR-L,0.42568,1362
SCR-R,0.407657,1416
SFO,0.37723,193
SFO-L,0.380347,95
SFO-R,0.374208,98
SLF,0.412906,3503
SLF-L,0.409451,1733
SLF-R,0.416289,1770
SS,0.425679,1294
SS-L,0.432955,648
SS-R,0.41838,646
UNC-L,0.382684,51
UNC-R,0.445076,74
