Tract,Average,nVoxels
ACR-L,0.462503,1569
ACR-R,0.457506,1560
ALIC-L,0.554531,719
ALIC-R,0.579507,791
AverageFA,0.415496,117137
BCC,0.605622,3173
CGC,0.500191,594
CGC-L,0.513449,307
CGC-R,0.48601,287
CR,0.461954,7344
CR-L,0.463613,3608
CR-R,0.460351,3736
CST,0.59413,642
CST-L,0.59947,332
CST-R,0.588412,310
EC,0.406068,2896
EC-L,0.39977,1445
EC-R,0.41234,1451
FX,0.455624,222
GCC,0.699371,1834
IC,0.603199,4781
IC-L,0.597168,2328
IC-R,0.608921,2453
IFO,0.428274,88
IFO-L,0.41971,40
IFO-R,0.43541,48
PCR-L,0.454989,677
PCR-R,0.464588,760
PLIC-L,0.663012,883
PLIC-R,0.668068,892
PTR,0.56986,1987
PTR-L,0.56664,978
PTR-R,0.57298,1009
RLIC-L,0.559312,726
RLIC-R,0.57062,770
SCC,0.728582,2311
SCR-L,0.469178,1362
SCR-R,0.461212,1416
SFO,0.495038,193
SFO-L,0.527707,95
SFO-R,0.463369,98
SLF,0.459066,3503
SLF-L,0.466924,1733
SLF-R,0.451372,1770
SS,0.519797,1294
SS-L,0.515417,648
SS-R,0.524191,646
UNC-L,0.49576,51
UNC-R,0.524356,74
