Tract,Average,nVoxels
ACR-L,0.462209,1569
ACR-R,0.424863,1560
ALIC-L,0.538937,719
ALIC-R,0.532684,791
AverageFA,0.377407,117123
BCC,0.611192,3173
CGC,0.494133,594
CGC-L,0.489555,307
CGC-R,0.499029,287
CR,0.417217,7344
CR-L,0.426241,3608
CR-R,0.408503,3736
CST,0.574228,642
CST-L,0.56765,332
CST-R,0.581273,310
EC,0.416589,2896
EC-L,0.426117,1445
EC-R,0.407101,1451
FX,0.355921,222
GCC,0.596554,1834
IC,0.553425,4781
IC-L,0.551942,2328
IC-R,0.554833,2453
IFO,0.477617,88
IFO-L,0.50636,40
IFO-R,0.453664,48
PCR-L,0.387139,677
PCR-R,0.402675,760
PLIC-L,0.587969,883
PLIC-R,0.604273,892
PTR,0.470433,1987
PTR-L,0.480085,978
PTR-R,0.461077,1009
RLIC-L,0.521002,726
RLIC-R,0.520313,770
SCC,0.674126,2311
SCR-L,0.404243,1362
SCR-R,0.393607,1416
SFO,0.469989,193
SFO-L,0.471175,95
SFO-R,0.46884,98
SLF,0.41335,3503
SLF-L,0.423405,1733
SLF-R,0.403506,1770
SS,0.463521,1294
SS-L,0.478889,648
SS-R,0.448105,646
UNC-L,0.465065,51
UNC-R,0.497828,74
