Tract,Average,nVoxels
ACR-L,0.544109,1569
ACR-R,0.558243,1560
ALIC-L,0.560959,719
ALIC-R,0.620501,791
AverageFA,0.41492,117138
BCC,0.637051,3173
CGC,0.559364,594
CGC-L,0.57689,307
CGC-R,0.540616,287
CR,0.506268,7344
CR-L,0.507993,3608
CR-R,0.504602,3736
CST,0.48085,642
CST-L,0.482514,332
CST-R,0.479068,310
EC,0.450369,2896
EC-L,0.441598,1445
EC-R,0.459104,1451
FX,0.397038,222
GCC,0.708758,1834
IC,0.604872,4781
IC-L,0.593414,2328
IC-R,0.615745,2453
IFO,0.477363,88
IFO-L,0.454189,40
IFO-R,0.496674,48
PCR-L,0.472736,677
PCR-R,0.44871,760
PLIC-L,0.62402,883
PLIC-R,0.649127,892
PTR,0.532032,1987
PTR-L,0.525343,978
PTR-R,0.538515,1009
RLIC-L,0.588333,726
RLIC-R,0.572187,770
SCC,0.71484,2311
SCR-L,0.483914,1362
SCR-R,0.475504,1416
SFO,0.529162,193
SFO-L,0.482545,95
SFO-R,0.574352,98
SLF,0.466842,3503
SLF-L,0.455856,1733
SLF-R,0.477599,1770
SS,0.521554,1294
SS-L,0.525682,648
SS-R,0.517414,646
UNC-L,0.445657,51
UNC-R,0.524529,74
